url;doi;titre;date_publication;matricule_premier_auteur
http://fake.url.com/0000003700.pdf;697718646753;Economía internacional: teoría y política;23/3/2016;26
http://fake.url.com/0000005257.pdf;953566976749;Managing the risks of extreme events and disasters to advance climate change adaptation: special report of the intergovernmental panel on climate change;19/1/2016;35
http://fake.url.com/0000008210.pdf;653918148574;Radiomic features derived from pre-operative multi-parametric MRI of prostate cancer are associated with Decipher risk score;25/12/2011;46
http://fake.url.com/0000005392.pdf;962463497558;Deep learning;15/10/2011;10
http://fake.url.com/0000000049.pdf;588593806301;International economics: Theory and policy, 8/E;26/9/2013;27
http://fake.url.com/0000004802.pdf;879994933759;A revised land surface parameterization (SiB2) for atmospheric GCMs. Part I: Model formulation;11/10/2016;40
http://fake.url.com/0000008244.pdf;632150559207;Efficiency of coordinate descent methods on huge-scale optimization problems;12/1/2011;30
http://fake.url.com/0000008620.pdf;168187549936;Tree-based batch mode reinforcement learning;18/1/2011;18
http://fake.url.com/0000005104.pdf;176739961641;Development, geography, and economic theory;19/7/2012;25
http://fake.url.com/0000005194.pdf;139896143686;Predicting Slaughter Weight in Pigs with Regression Tree Ensembles;5/8/2013;4
http://fake.url.com/0000002173.pdf;449592885828;Quality assurance for prospective EORTC radiation oncology trials: the challenges of advanced technology in a multicenter international setting;25/7/2015;48
http://fake.url.com/0000002892.pdf;386913401544;Decision tree based transient stability method a case study;21/5/2014;9
http://fake.url.com/0000009328.pdf;506690438403;Framework Proposal for a US Upstream Greenhouse Gas Tax with WTO-Compliant Border Adjustments;7/1/2013;25
http://fake.url.com/0000001039.pdf;889500565110;Tooth detection and numbering in panoramic radiographs using convolutional neural networks;15/10/2011;3
http://fake.url.com/0000008446.pdf;841862914134;Globalization and the Inequality of Nations;18/9/2013;54
http://fake.url.com/0000004051.pdf;110209104241;Increasing returns, monopolistic competition, and international trade;2/11/2012;34
http://fake.url.com/0000001481.pdf;251752480191;Vulnerability of permafrost carbon to climate change: Implications for the global carbon cycle;11/2/2012;54
http://fake.url.com/0000004777.pdf;605783587397;The large scale structure of space-time;15/5/2012;45
http://fake.url.com/0000003673.pdf;544707750733;Recent patterns and mechanisms of carbon exchange by terrestrial ecosystems;12/6/2015;40
http://fake.url.com/0000009615.pdf;797535988534;Wave function of the universe;15/12/2014;43
http://fake.url.com/0000003913.pdf;175431842659;Artificial Intelligence for Medical Image Understanding;4/9/2011;2
http://fake.url.com/0000006110.pdf;197543519816;A narrow-waveband spectral index that tracks diurnal changes in photosynthetic efficiency;25/10/2014;52
http://fake.url.com/0000004442.pdf;970536304964;Proximal Algorithms;12/5/2011;35
http://fake.url.com/0000006797.pdf;277129744773;Invariant features-based automated registration and montage for wide-field OCT angiography;6/8/2011;5
http://fake.url.com/0000006822.pdf;721494699459;Exploratory Analysis of MNIST Handwritten Digit for Machine Learning Modelling;13/2/2017;3
http://fake.url.com/0000005634.pdf;640214815452;Object removal by exemplar-based inpainting;12/7/2016;21
http://fake.url.com/0000003050.pdf;928272414754;Robust Supervoxel Matching Combining Mid-Level Spectral and Context-Rich Features;16/6/2017;9
http://fake.url.com/0000002383.pdf;741412966434;Application of open-source computational tools to focal laser ablation of the prostate;25/9/2012;23
http://fake.url.com/0000006543.pdf;676987959998;Automatic Three-Dimensional Cephalometric Annotation System Using Three-Dimensional Convolutional Neural Networks;4/10/2011;10
http://fake.url.com/0000008047.pdf;253425694192;A patch-based super resolution algorithm for improving image resolution in clinical mass spectrometry;13/1/2011;21
http://fake.url.com/0000006068.pdf;516796553830;A scheme for robust distributed sensor fusion based on average consensus;25/5/2014;34
http://fake.url.com/0000008309.pdf;533684211795;Automatic Teeth Segmentation in Cephalometric X-Ray Images Using a Coupled Shape Model;3/6/2013;3
http://fake.url.com/0000007609.pdf;326878397661;Jaya algorithm-assisted evaluation of tooth elements using digital bitewing radiography images;14/1/2016;6
http://fake.url.com/0000009637.pdf;701349663651;Patrocles: a database of polymorphic miRNA-mediated gene regulation in vertebrates;26/4/2015;23
http://fake.url.com/0000006725.pdf;203788978174;A model of balance-of-payments crises;12/9/2012;26
http://fake.url.com/0000000016.pdf;133387394794;An empirical study of the naive Bayes classifier;15/4/2012;2
http://fake.url.com/0000003225.pdf;392597593421;You only look once: Unified, real-time object detection;20/5/2012;20
http://fake.url.com/0000000513.pdf;364282801119;Geography and trade;5/10/2016;54
http://fake.url.com/0000000164.pdf;348784954644;Terrestrial ecosystem production: a process model based on global satellite and surface data;19/3/2014;52
http://fake.url.com/0000004294.pdf;254112851786;Machine learning approaches to power-system security assessment;26/10/2011;38
http://fake.url.com/0000000374.pdf;329977540197;Regression shrinkage and selection via the lasso;1/9/2012;30
http://fake.url.com/0000009154.pdf;224170354928;PREDetector: a new tool to identify regulatory elements in bacterial genomes;14/3/2012;23
http://fake.url.com/0000008149.pdf;915560856707;Caveolin-1 expression is critical for vascular endothelial growth factor–induced ischemic hindlimb collateralization and nitric oxide–mediated angiogenesis;17/1/2011;48
http://fake.url.com/0000001206.pdf;475348939142;NNLS Methods Applied to the Non-Negative Matrix Factorization Problem;14/3/2011;29
http://fake.url.com/0000009873.pdf;816762288474;Distributed average consensus with least-mean-square deviation;14/4/2011;34
http://fake.url.com/0000004936.pdf;998974779674;A survey of computational complexity results in systems and control;9/7/2011;34
http://fake.url.com/0000006405.pdf;906356543187;Competitiveness: a dangerous obsession;18/5/2012;27
http://fake.url.com/0000007290.pdf;805935274423;Growing world trade: causes and consequences;3/5/2012;27
http://fake.url.com/0000000207.pdf;377588127327;Semidefinite programming;7/11/2012;28
http://fake.url.com/0000003353.pdf;912771318807;Algorithms for positive semidefinite factorization;25/12/2012;30
http://fake.url.com/0000005232.pdf;198853614384;Primal-dual interior-point methods for self-scaled cones;9/6/2011;30
http://fake.url.com/0000006162.pdf;852281913507;Climate change 2014: synthesis report. Contribution of Working Groups I, II and III to the fifth assessment report of the Intergovernmental Panel on Climate Change;25/12/2013;40
http://fake.url.com/0000001981.pdf;862778428476;Linear controller design: limits of performance;13/3/2014;35
http://fake.url.com/0000000529.pdf;469914440150;ML-KNN: A lazy learning approach to multi-label learning;7/2/2011;2
http://fake.url.com/0000002490.pdf;882836624190;Automatic inspection of aerospace welds using x-ray images;10/5/2011;10
http://fake.url.com/0000006874.pdf;156471300180;Object categorization by learned universal visual dictionary;7/6/2018;3
http://fake.url.com/0000007060.pdf;766176247632;Multisegmented tangential breast fields: a rational way to treat breast cancer;2/7/2014;46
http://fake.url.com/0000008696.pdf;338340895652;3D convolutional neural networks applied to CT angiography in the detection of acute ischemic stroke;19/4/2011;10
http://fake.url.com/0000004814.pdf;431219532746;Observation of a new particle in the search for the Standard Model Higgs boson with the ATLAS detector at the LHC;20/1/2012;21
http://fake.url.com/0000007339.pdf;760557125176;Towards an efficient resolution of printing problems;9/9/2016;32
http://fake.url.com/0000004009.pdf;576848834449;Thalidomide radiosensitizes tumors through early changes in the tumor microenvironment;7/7/2011;46
http://fake.url.com/0000009234.pdf;572692719272;Low-Dose Computed Tomography Image Super-Resolution Reconstruction via Random Forests;8/11/2018;7
http://fake.url.com/0000004319.pdf;246884156693;Understanding variable importances in forests of randomized trees;26/7/2011;7
http://fake.url.com/0000004074.pdf;411810884922;Trimming the complexity of Ranking by Pairwise Comparison;17/12/2017;18
http://fake.url.com/0000003153.pdf;249981132732;Action integrals and partition functions in quantum gravity;26/5/2014;44
http://fake.url.com/0000000047.pdf;216843639727;CVX: Matlab software for disciplined convex programming;14/12/2012;28
http://fake.url.com/0000005195.pdf;305355766179;Attaining Human-Level Performance with Atlas Location Autocontext for Anatomical Landmark Detection in 3D CT Data;2/6/2013;2
http://fake.url.com/0000003418.pdf;316962121245;On the linear extension complexity of regular n-gons;9/4/2011;33
http://fake.url.com/0000008942.pdf;118358327244;Epitomic location recognition;2/11/2016;19
http://fake.url.com/0000002458.pdf;573148767206;Geographical dispersal of mobile communication networks;11/4/2011;32
http://fake.url.com/0000003245.pdf;872804592553;Incremental Feature Forest for Real-Time SLAM on Mobile Devices;1/6/2016;24
http://fake.url.com/0000007935.pdf;789180916943;How did economists get it so wrong?;14/10/2014;27
http://fake.url.com/0000006209.pdf;980418981230;Fast unfolding of communities in large networks;22/8/2012;34
http://fake.url.com/0000004474.pdf;228886729768;The nature of statistical learning theory;14/2/2018;3
http://fake.url.com/0000009711.pdf;105185166346;Material properties of the posterior human sclera;23/6/2016;20
http://fake.url.com/0000005445.pdf;658695643731;The myth of Asia's miracle;6/2/2012;27
http://fake.url.com/0000007785.pdf;484895188261;Convex Optimization;11/12/2012;34
http://fake.url.com/0000007857.pdf;700146563369;State-of-the-art, challenges, and future trends in security constrained optimal power flow;10/12/2015;3
http://fake.url.com/0000000397.pdf;779795502976;A measure of similarity between graph vertices: Applications to synonym extraction and web searching;25/7/2011;34
http://fake.url.com/0000005273.pdf;217177241239;Stability of networked control systems;20/12/2018;34
http://fake.url.com/0000000104.pdf;635763770408;Single view metrology;12/11/2017;20
http://fake.url.com/0000004598.pdf;809364627873;Automatic cephalometric x-ray landmark detection challenge 2014: A tree-based algorithm;5/5/2013;2
http://fake.url.com/0000008066.pdf;344106853653;Random subwindows for robust image classification;7/8/2015;15
http://fake.url.com/0000004542.pdf;608716189838;An Initialization Method of B-Spline Transformation for Medical Atlases Alignment;12/12/2014;5
http://fake.url.com/0000006114.pdf;405165309804;Automatic Analysis of Lateral Cephalograms Based on Multiresolution Decision Tree Regression Voting;4/7/2017;7
http://fake.url.com/0000006183.pdf;141565240265;Toxicity at three years with and without irradiation of the internal mammary and medial supraclavicular lymph node chain in stage I to III breast cancer (EORTC trial 22922/10925);22/12/2014;48
http://fake.url.com/0000005139.pdf;881143709315;Wisdom of crowds for robust gene network inference;7/10/2014;2
http://fake.url.com/0000008970.pdf;410327279946;A complete fuzzy decision tree technique;3/7/2014;36
http://fake.url.com/0000006900.pdf;981347183880;The spatial economy: Cities, regions, and international trade;22/5/2018;27
http://fake.url.com/0000008090.pdf;756817848470;An artificial intelligence framework for online transient stability assessment of power systems;22/11/2011;7
http://fake.url.com/0000001264.pdf;130239561836;New variants of bundle methods;14/6/2012;30
http://fake.url.com/0000007049.pdf;125497580415;Deep Learning for Spaceships;16/9/2014;11
http://fake.url.com/0000007064.pdf;837600389499;Simple accurate expressions for planar spiral inductances;9/3/2016;35
http://fake.url.com/0000000570.pdf;461823625213;Contingency filtering techniques for preventive security-constrained optimal power flow;24/6/2012;38
http://fake.url.com/0000001972.pdf;675475679348;Convergence in multiagent coordination, consensus, and flocking;16/12/2018;32
http://fake.url.com/0000004585.pdf;776184795913;A method for solving the convex programming problem with convergence rate O (1/k^ 2);14/2/2012;36
http://fake.url.com/0000006879.pdf;795562741551;Power systems stability control: reinforcement learning framework;13/8/2013;8
http://fake.url.com/0000006966.pdf;238175889972;Feasibility of Image Registration for Ultrasound-Guided Prostate Radiotherapy Based on Similarity Measurement by a Convolutional Neural Network;18/11/2011;4
http://fake.url.com/0000004895.pdf;477693689901;Squared functional systems and optimization problems;4/8/2012;28
http://fake.url.com/0000009134.pdf;132540839221;Market structure and foreign trade: Increasing returns, imperfect competition, and the international economy;17/6/2013;25
http://fake.url.com/0000000337.pdf;211525864687;Preconditioning of the tumor vasculature and tumor cells by intermittent hypoxia: implications for anticancer therapies;9/1/2014;46
http://fake.url.com/0000000765.pdf;941630465399;Enhancing Sparsity by Reweighted l1 Minimization;1/10/2011;36
http://fake.url.com/0000007527.pdf;982911812560;Coordinate Descent methods for Positive Semidefinite Factorization;10/2/2012;36
http://fake.url.com/0000006073.pdf;868651546394;Proteomic mass spectra classification using decision tree based ensemble methods;20/11/2013;2
http://fake.url.com/0000001800.pdf;609890726379;Image recognition method using Local Binary Pattern and the Random forest classifier to count post larvae shrimp;12/1/2011;6
http://fake.url.com/0000003989.pdf;144417653158;Heuristics for exact nonnegative matrix factorization;7/1/2011;30
http://fake.url.com/0000006465.pdf;258614313543;Automatic Detection of Wrist Fractures From Posteroanterior and Lateral Radiographs: A Deep Learning-Based Approach;6/2/2011;4
http://fake.url.com/0000002484.pdf;786409771275;Randomized gossip algorithms;18/3/2012;35
http://fake.url.com/0000003242.pdf;368813716975;Global and regional drivers of accelerating CO2 emissions;10/12/2015;54
http://fake.url.com/0000004421.pdf;161646175863;Global scale climate–crop yield relationships and the impacts of recent warming;21/6/2012;42
http://fake.url.com/0000001717.pdf;944952210225;Science in action: How to follow scientists and engineers through society, 9;9/1/2014;44
http://fake.url.com/0000006482.pdf;599809468308;Fast Registration by Boundary Sampling and Linear Programming;7/11/2011;19
http://fake.url.com/0000005489.pdf;989998999411;Informing transparency in the Paris Agreement: the role of economic models;2/4/2016;25
http://fake.url.com/0000003636.pdf;165454670294;Extremely randomized trees;8/1/2015;3
http://fake.url.com/0000001489.pdf;758949112814;Collaborative analysis of multi-gigapixel imaging data using Cytomine;12/4/2016;24
http://fake.url.com/0000004064.pdf;911160111504;OverFeat: Integrated Recognition, Localization and Detection using Convolutional Networks;11/12/2012;2
http://fake.url.com/0000000639.pdf;284839662678;Caveolin Plays a Central Role in Endothelial Progenitor Cell Mobilization and Homing in SDF-1–Driven Postischemic Vasculogenesis;9/3/2017;46
http://fake.url.com/0000003191.pdf;259589804402;Colorful Trees: Visualizing Random Forests for Analysis and Interpretation;12/7/2016;2
http://fake.url.com/0000008400.pdf;322957877444;Increasing returns and economic geography;3/10/2013;54
http://fake.url.com/0000009866.pdf;337985101906;Alternating optimization of decision trees, with application to learning sparse oblique trees;25/6/2011;1
http://fake.url.com/0000004751.pdf;452498995333;Smooth minimization of non-smooth functions;22/8/2017;35
http://fake.url.com/0000001043.pdf;314554326776;Seqgan: Sequence generative adversarial nets with policy gradient;9/12/2014;2
http://fake.url.com/0000008873.pdf;378135223887;Effects of platelet‐rich plasma (PRP) on the healing of Achilles tendons of rats;18/8/2011;52
http://fake.url.com/0000008270.pdf;904419521271;Efficient backprop;9/6/2011;11
http://fake.url.com/0000009355.pdf;537961217851;Climate Change 2014–Impacts, Adaptation and Vulnerability: Regional Aspects;12/9/2012;27
http://fake.url.com/0000000877.pdf;117104270556;Interior-point based algorithms for the solution of optimal power flow problems;7/9/2012;1
