url;pg_debut;pg_fin;nom_revue;n_journal
http://fake.url.com/0000007049.pdf;12;18;Great Journal of Machine Learning;54
http://fake.url.com/0000003353.pdf;2;9;International Journal of Sciences;52
http://fake.url.com/0000004474.pdf;2;6;Great Journal of Machine Learning;58
http://fake.url.com/0000003242.pdf;2;15;Journal of Medical Research;55
http://fake.url.com/0000004802.pdf;16;29;International Journal of Sciences;56
http://fake.url.com/0000009204.pdf;33;45;Mathematics and Optimization;52
http://fake.url.com/0000005312.pdf;44;52;Applications of Machine Learning;57
http://fake.url.com/0000003636.pdf;2;14;Applications of Machine Learning;55
http://fake.url.com/0000006068.pdf;25;34;Applications of Machine Learning;54
http://fake.url.com/0000005276.pdf;37;44;International Journal of Sciences;51
http://fake.url.com/0000002383.pdf;2;10;Applications of Machine Learning;52
http://fake.url.com/0000001043.pdf;39;47;International Journal of Sciences;54
http://fake.url.com/0000008620.pdf;12;19;Great Journal of Machine Learning;51
http://fake.url.com/0000003991.pdf;35;39;Applications of Machine Learning;51
http://fake.url.com/0000006874.pdf;12;18;Applications of Machine Learning;58
http://fake.url.com/0000009711.pdf;22;35;Nature: Ecology and Climate Change;56
http://fake.url.com/0000006822.pdf;9;21;Applications of Machine Learning;57
http://fake.url.com/0000008970.pdf;16;24;Applications of Machine Learning;54
http://fake.url.com/0000007237.pdf;2;11;Journal for Automated Reasoning;52
http://fake.url.com/0000008066.pdf;15;19;Applications of Machine Learning;55
http://fake.url.com/0000004751.pdf;2;9;Mathematics and Optimization;57
http://fake.url.com/0000005195.pdf;2;6;Great Journal of Machine Learning;53
http://fake.url.com/0000006225.pdf;2;6;Great Journal of Machine Learning;57
http://fake.url.com/0000000164.pdf;9;20;Climate Change Research;54
http://fake.url.com/0000000337.pdf;2;11;Journal of Medical Research;54
http://fake.url.com/0000005414.pdf;2;8;Great Journal of Machine Learning;52
http://fake.url.com/0000006919.pdf;10;18;Mathematics and Optimization;54
http://fake.url.com/0000005273.pdf;2;11;Journal for Automated Reasoning;58
http://fake.url.com/0000005712.pdf;2;13;Great Journal of Machine Learning;56
http://fake.url.com/0000003700.pdf;2;9;Journal of Economics;56
http://fake.url.com/0000003050.pdf;22;35;Applications of Machine Learning;57
http://fake.url.com/0000005872.pdf;20;27;Mathematics and Optimization;53
http://fake.url.com/0000006893.pdf;2;7;Mathematics and Optimization;55
http://fake.url.com/0000003191.pdf;2;11;Applications of Machine Learning;56
http://fake.url.com/0000000169.pdf;29;34;Applications of Machine Learning;51
http://fake.url.com/0000009212.pdf;2;9;Journal for Automated Reasoning;57
http://fake.url.com/0000007064.pdf;11;15;International Journal of Sciences;56
http://fake.url.com/0000005947.pdf;13;19;Mathematics and Optimization;53
